Treatment,Intensity
ZLW3-RNAi,13.0615133
ZLW3-RNAi,11.14632128
ZLW3-RNAi,15.58531259
ZLW3-RNAi,20.04857957
ZLW3-RNAi,16.21377799
ZLW3-RNAi,15.69287252
ZLW3-RNAi,14.43367719
ZLW3-RNAi,21.83291074
ZLW3-RNAi,15.34324964
ZLW3-RNAi,18.48704301
ZLW3-RNAi,10.12952383
ZLW3-RNAi,20.20771526
ZLW3-RNAi,7.34955525
ZLW3-RNAi,12.43195861
ZLW3-RNAi,14.18997809
ZLW3-RNAi,9.800113319
ZLW3-RNAi,16.41802391
ZLW3-RNAi,18.90334274
ZLW3-RNAi,18.6542205
ZLW3-RNAi,10.95795179
ZLW3-RNAi,14.9777673
ZLW3-RNAi,22.05313817
ZLW3-RNAi,10.43649861
ZLW3-RNAi,21.60507943
ZLW3-RNAi,6.945881833
ZLW3-RNAi,17.94229855
ZLW3-RNAi,11.23293302
ZLW3-RNAi,11.36672941
ZLW3-RNAi,12.96543782
ZLW3-RNAi,22.581732
ZLW3-RNAi,19.44170128
ZLW3-RNAi,15.64903567
ZLW3-RNAi,14.89120313
ZLW3-RNAi,18.53984075
ZLW3-RNAi,15.23261048
ZLW3-RNAi,19.95172819
ZLW3-RNAi,17.45237998
ZLW3-RNAi,23.66205028
ZLW3-RNAi,16.76690204
ZLW3-RNAi,10.15777415
ZLW3-RNAi,9.375565737
ZLW3-RNAi,10.79815514
ZLW3-RNAi,13.24473322
ZLW3-RNAi,8.822747633
ZLW3-RNAi,22.83268943
ZLW3-RNAi,23.20292313
ZLW3-RNAi,10.52374774
ZLW3-RNAi,7.614097998
ZLW3-RNAi,14.53779178
ZLW3-RNAi,8.915967672
ZLW3-RNAi,18.62298703
ZLW3-RNAi,9.120889478
ZLW3-RNAi,9.042358849
ZLW3-RNAi,19.47423276
ZLW3-RNAi,13.12883683
ZLW3-RNAi,22.9418109
ZLW3-RNAi,8.575559797
ZLW3-RNAi,13.26384762
ZLW3-RNAi,19.88847582
ZLW3-RNAi,9.823200502
ZLW3-RNAi,11.75614424
ZLW3-RNAi,12.51593939
ZLW3-RNAi,13.9208895
ZLW3-RNAi,9.543039827
ZLW3-RNAi,11.64618327
ZLW3-RNAi,19.51336341
ZLW3-RNAi,16.27255281
ZLW3-RNAi,15.36105908
ZLW3-RNAi,13.55534001
ZLW3-RNAi,13.50236606
ZLW3-RNAi,14.58256776
ZLW3-RNAi,17.51327556
